,text_length,text_sentiment_polarity,text_sentiment_subjectivity,text_theme_patriotism,text_theme_freedom,text_theme_war,text_theme_peace,text_theme_nature,text_theme_religion,image_color_count,image_red_dominance,image_green_dominance,image_blue_dominance,image_brightness,image_complexity,audio_duration,audio_tempo,audio_energy,audio_pitch_mean,audio_pitch_std,audio_volume
ss,82,0.825,0.55,2.4390243902439024,2.4390243902439024,1.2195121951219512,3.6585365853658534,3.6585365853658534,1.2195121951219512,5,0.38073394495412843,0.3577981651376147,0.26146788990825687,0.5129411764705882,44.02272140611028,77.00897959183673,107.666015625,0.07827504,929.9487,654.855,0.06309705
do,302,0.4688533834586467,0.7259147869674187,1.6556291390728477,2.980132450331126,1.6556291390728477,0.0,0.33112582781456956,0.0,12,0.405306085865376,0.3384422335753339,0.25625168055929015,0.29763905562224885,4135.512060192788,96.78367346938775,99.38401442307692,0.09313146,1121.4894,820.4627,0.07477928
pk,87,0.14200000000000002,0.383,2.2988505747126435,0.0,0.0,1.1494252873563218,4.597701149425287,1.1494252873563218,2,0.3089005235602094,0.36045106725735,0.3306484091824406,0.6491503267973856,40.681691213615984,82.41632653061224,123.046875,0.09107092,1341.9688,925.34546,0.07304404
cm,118,0.37045454545454537,0.6181818181818182,0.847457627118644,0.847457627118644,0.0,1.694915254237288,2.5423728813559325,1.694915254237288,3,0.49203049203049204,0.386001386001386,0.12196812196812197,0.4715686274509804,84.23182296495784,58.04408163265306,103.359375,0.09228665,1264.7467,891.2783,0.07390424
pg,94,0.2761363636363636,0.4595170454545454,0.0,3.1914893617021276,0.0,0.0,4.25531914893617,1.0638297872340425,4,0.47249834327369117,0.31875414181577205,0.20874751491053678,0.4931372549019608,214.89532335534898,57.78285714285714,109.95678191489361,0.04011308,1398.8445,1011.4016,0.03211808
ls,54,0.5833333333333334,0.7666666666666666,1.8518518518518516,1.8518518518518516,0.0,1.8518518518518516,5.555555555555555,0.0,4,0.2632937532266391,0.3567372225090346,0.37996902426432627,0.36171802054155,201.544039852336,45.1134693877551,99.38401442307692,0.13051246,1016.99316,702.8241,0.10522242
ws,52,0.35,0.8,0.0,3.8461538461538463,0.0,0.0,1.9230769230769231,0.0,3,0.38545150501672243,0.2633779264214047,0.3511705685618729,0.5211328976034858,77.5886589650833,73.01224489795918,120.18531976744185,0.04627068,1199.1862,822.57074,0.03719013
gi,95,0.4569696969696969,0.8283333333333334,1.0526315789473684,4.2105263157894735,0.0,0.0,5.263157894736842,1.0526315789473684,4,0.5985514743921366,0.24366270046559751,0.1577858251422659,0.28075526506899057,527.4845969315123,151.77142857142857,126.04801829268293,0.05141444,1294.3563,888.66486,0.041398283
ng,91,0.7,1.0,2.197802197802198,1.098901098901099,1.098901098901099,3.296703296703297,2.197802197802198,1.098901098901099,2,0.2599388379204893,0.39755351681957185,0.3425076452599388,0.6411764705882353,17.944358444926362,105.72836734693878,112.34714673913044,0.051346827,1226.0687,913.81146,0.041539557
uz,91,0.6185606060606061,0.7000000000000001,1.098901098901099,3.296703296703297,0.0,1.098901098901099,2.197802197802198,1.098901098901099,4,0.2865731462925852,0.3632980246206699,0.3501288290867449,0.6522875816993464,145.938343145316,146.15510204081633,112.34714673913044,0.08824297,1150.5751,815.7721,0.07076189
vu,77,0.4740740740740741,0.6472222222222223,0.0,1.2987012987012987,0.0,0.0,3.896103896103896,2.5974025974025974,3,0.5123306703716568,0.41507467870788467,0.0725946509204585,0.5376283846872082,175.8180878066873,59.14122448979592,107.666015625,0.10419661,1135.4648,764.9245,0.08402739
my,37,0.725,0.575,2.7027027027027026,0.0,0.0,0.0,2.7027027027027026,10.81081081081081,4,0.5294117647058824,0.2647058823529412,0.20588235294117646,0.4533333333333333,58.88972745734183,58.64489795918367,109.95678191489361,0.101941034,1242.6195,871.6938,0.0818766
cz,42,0.85,1.0,0.0,0.0,0.0,0.0,9.523809523809524,0.0,3,0.39337641357027464,0.2778675282714055,0.3287560581583199,0.5394335511982571,25.514701644346147,64.70530612244897,123.046875,0.09039884,1003.4403,718.8929,0.07298419
np,79,0.15528756957328385,0.47908163265306125,1.2658227848101267,2.5316455696202533,0.0,1.2658227848101267,7.59493670886076,0.0,3,0.3746056782334385,0.2610410094637224,0.3643533123028391,0.5525054466230936,194.60729688272227,69.82530612244898,90.66611842105263,0.08626692,962.9948,741.9319,0.0695593
tg,189,0.42023809523809524,0.6238095238095237,1.0582010582010581,1.0582010582010581,1.0582010582010581,1.0582010582010581,1.0582010582010581,1.0582010582010581,4,0.4265402843601896,0.3453791469194313,0.22808056872037916,0.5516339869281046,81.7129120763665,52.08816326530612,109.95678191489361,0.09914177,1216.3455,848.98254,0.08000571
zm,128,0.5187675070028012,0.7481792717086835,2.34375,5.46875,0.78125,1.5625,4.6875,1.5625,4,0.6244616709732989,0.36175710594315247,0.013781223083548665,0.3035294117647059,289.5928175904921,117.21433106575964,120.18531976744185,0.12492497,1055.4166,738.6762,0.100650944
bt,46,0.6875,0.6,0.0,2.1739130434782608,0.0,2.1739130434782608,2.1739130434782608,0.0,4,0.405276541640178,0.3356643356643357,0.2590591226954863,0.5140522875816993,4722.386684717802,104.21115646258504,139.6748310810811,0.05297346,1053.7494,750.1994,0.043019805
am,125,0.24119897959183678,0.5520408163265307,1.6,5.6000000000000005,0.0,0.0,0.8,0.0,3,0.5362149532710281,0.2558411214953271,0.20794392523364486,0.37298474945533766,23.108440016582687,29.648979591836735,112.34714673913044,0.11205718,1153.8429,826.1101,0.09020654
ro,136,0.34750000000000003,0.44000000000000006,1.4705882352941175,1.4705882352941175,2.2058823529411766,0.0,0.7352941176470588,0.7352941176470588,3,0.5010940919037199,0.29431072210065645,0.20459518599562362,0.39825708061002174,23.108440016582687,138.73632653061225,107.666015625,0.11318208,1333.5029,896.2536,0.09037498
bn,33,0.4,0.7,0.0,0.0,0.0,6.0606060606060606,0.0,3.0303030303030303,4,0.47444168734491315,0.3573200992555831,0.16823821339950373,0.5267973856209149,1133.9925043843984,64.86204081632653,123.046875,0.073128454,1509.0905,1072.8442,0.05870141
il,62,0.1875,0.6000000000000001,0.0,3.225806451612903,1.6129032258064515,0.0,6.451612903225806,0.0,2,0.20481927710843373,0.29477911646586347,0.5004016064257029,0.542483660130719,30.298514815086232,74.24,123.046875,0.09912969,1119.3728,760.56976,0.07980352
mc,37,0.11000000000000001,0.255,2.7027027027027026,2.7027027027027026,0.0,0.0,0.0,0.0,2,0.449317738791423,0.2651072124756335,0.2855750487329435,0.6705882352941176,16.55294535724685,87.6669387755102,101.33272058823529,0.055096433,1405.1703,966.57544,0.04408755
je,54,0.2633333333333333,0.6733333333333333,3.7037037037037033,0.0,0.0,0.0,5.555555555555555,3.7037037037037033,7,0.5094011142061281,0.2827298050139276,0.2078690807799443,0.469281045751634,350.5709628591621,34.115918367346936,123.046875,0.05482937,1357.6692,957.1155,0.044172898
ad,71,0.525,0.82,1.4084507042253522,2.8169014084507045,0.0,0.0,1.4084507042253522,1.4084507042253522,9,0.4817973406694177,0.3463548830811554,0.17184777624942688,0.5279593318809007,2579.979069682543,156.96979591836734,101.33272058823529,0.06637398,1303.22,928.49384,0.053631864
kp,104,0.3731481481481481,0.6481481481481481,0.9615384615384616,0.0,0.0,0.0,1.9230769230769231,0.0,3,0.4141117177656447,0.2708945821083578,0.3149937001259975,0.6224836601307189,98.40731680114035,100.6120634920635,123.046875,0.07369163,1561.9366,1019.4373,0.06015888
mm,79,0.44642857142857145,0.7214285714285714,1.2658227848101267,0.0,1.2658227848101267,0.0,2.5316455696202533,0.0,4,0.4334787350054526,0.3685932388222465,0.19792802617230099,0.5993464052287583,73.60706487831179,39.288163265306125,135.99917763157896,0.11772132,1235.798,849.79004,0.094790995
la,84,0.22142857142857142,0.6026785714285714,2.380952380952381,2.380952380952381,1.1904761904761905,0.0,1.1904761904761905,0.0,3,0.394017094017094,0.26666666666666666,0.33931623931623933,0.5098039215686274,23.366642891095847,50.285714285714285,143.5546875,0.062591225,1219.5107,878.25397,0.05002892
vc,92,0.2901923076923077,0.5998717948717949,1.0869565217391304,1.0869565217391304,0.0,1.0869565217391304,5.434782608695652,2.1739130434782608,3,0.2550607287449393,0.5,0.24493927125506074,0.322875816993464,38.47076812334269,52.688979591836734,109.95678191489361,0.085824385,989.1777,697.0009,0.06949177
sz,69,0.44999999999999996,0.475,1.4492753623188406,0.0,0.0,0.0,2.898550724637681,4.3478260869565215,7,0.3795560985542659,0.32254123396456935,0.29790266748116473,0.37762399077277975,414.3090633814327,67.65714285714286,156.60511363636363,0.042886417,1007.4338,677.1304,0.0346911
rw,173,0.3576984126984127,0.6340343915343916,2.8901734104046244,1.7341040462427744,0.0,0.5780346820809248,0.5780346820809248,0.5780346820809248,4,0.3280141843971631,0.44680851063829785,0.225177304964539,0.49150326797385613,83.78544026261365,138.63183673469388,89.10290948275862,0.103348665,1238.3276,841.60803,0.08239813
it,231,0.18125,0.5,0.0,0.4329004329004329,1.2987012987012987,1.2987012987012987,0.0,1.2987012987012987,3,0.3668261562998405,0.3413078149920255,0.291866028708134,0.54640522875817,22.912878474779202,98.74285714285715,114.84375,0.072571985,1065.3467,790.4,0.058192354
gg,176,0.29047619047619044,0.36666666666666664,0.5681818181818182,0.0,0.0,0.0,5.113636363636364,0.0,2,0.6119592875318066,0.30279898218829515,0.08524173027989822,0.5137254901960784,54.055527006958314,141.63591836734693,90.66611842105263,0.09438148,1298.7659,970.45245,0.07634798
li,84,0.25675324675324684,0.5876190476190478,2.380952380952381,2.380952380952381,0.0,0.0,9.523809523809524,3.571428571428571,4,0.4787123572170301,0.2866043613707165,0.23468328141225336,0.17983193277310924,1084.9654372375187,84.21877551020408,126.04801829268293,0.08624973,1125.5272,818.8798,0.06945478
to,37,0.17222222222222222,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,5.405405405405405,2,0.46764091858037576,0.2661795407098121,0.2661795407098121,0.6261437908496732,31.78049716414141,59.16734693877551,126.04801829268293,0.07302651,1320.884,934.2941,0.05873801
tj,102,0.40406336088154277,0.5257575757575758,3.9215686274509802,0.9803921568627451,0.0,0.0,0.9803921568627451,0.0,4,0.44452608376193975,0.3681116825863336,0.18736223365172666,0.5930283224400871,172.5688268488837,112.14367346938775,126.04801829268293,0.111413375,1054.9209,718.7388,0.08960735
lb,165,1.0,0.6000000000000001,5.454545454545454,0.0,0.6060606060606061,0.0,1.8181818181818181,0.6060606060606061,3,0.3747143945163747,0.341964965727342,0.2833206397562833,0.5721132897603486,176.52478579508318,50.62530612244898,109.95678191489361,0.090994,1259.5111,889.22327,0.07253897
ke,90,0.07083333333333332,0.5708333333333333,3.3333333333333335,1.1111111111111112,0.0,3.3333333333333335,2.2222222222222223,1.1111111111111112,5,0.35064935064935066,0.3474025974025974,0.30194805194805197,0.6844444444444445,153.38187637397058,41.012244897959185,123.046875,0.12155175,1293.547,910.57874,0.097659685
az,97,0.5803571428571429,0.6571428571428571,0.0,0.0,2.0618556701030926,0.0,3.0927835051546393,0.0,4,0.36291161178509534,0.32339688041594455,0.31369150779896016,0.6285403050108932,56.07138307550475,131.99673469387756,135.99917763157896,0.103262104,1190.025,835.0908,0.08263664
et,88,0.43779461279461285,0.6814814814814816,4.545454545454546,1.1363636363636365,0.0,1.1363636363636365,0.0,0.0,4,0.46089773253123556,0.4113836186950486,0.12771864877371586,0.4708061002178649,90.13323471394999,84.08816326530612,95.703125,0.12082211,1260.6708,885.42505,0.096897095
at,110,0.3205353535353535,0.6110808080808081,1.8181818181818181,0.9090909090909091,0.0,0.9090909090909091,6.363636363636363,0.0,2,0.44727272727272727,0.2690909090909091,0.28363636363636363,0.7189542483660131,16.55294535724685,89.52163265306122,123.046875,0.07213186,1138.3274,864.426,0.0581869
